geoid,geoid20,year,denom_total_pop,traffic_impacts,traffic_impacts_pctile
1400000US06037480201,6037480201,2021,3787,366.34,5
1400000US06037430301,6037430301,2021,4319,289.39999,3
1400000US06037141500,6037141500,2021,2927,4028.7,98
1400000US06037502602,6037502602,2021,4477,1261.96,61
1400000US06037551001,6037551001,2021,4276,1309.98,63
1400000US06037463300,6037463300,2021,1970,562.06,11
1400000US06037106403,6037106403,2021,3667,585.65997,12
1400000US06037576903,6037576903,2021,3644,824.53003,29
1400000US06037400403,6037400403,2021,4347,1693.51,73
1400000US06037532200,6037532200,2021,7363,1897.91,76
1400000US06037310705,6037310705,2021,3476,1498.62,69
1400000US06037119700,6037119700,2021,4913,1301.78,63
1400000US06037310704,6037310704,2021,3090,1498.62,69
1400000US06037550201,6037550201,2021,2673,6467.5698,100
1400000US06037403407,6037403407,2021,2314,772.08002,25
1400000US06037408707,6037408707,2021,6698,1754.66,74
1400000US06037297300,6037297300,2021,2193,470.91,7
1400000US06037125200,6037125200,2021,3907,1980.96,78
1400000US06037700600,6037700600,2021,5021,1070.53,50
1400000US06037800411,6037800411,2021,4079,978.84998,42
1400000US06037408705,6037408705,2021,5625,1094.53,51
1400000US06037531102,6037531102,2021,3210,1684.65,73
1400000US06037800412,6037800412,2021,3193,978.84998,42
1400000US06037195201,6037195201,2021,3128,864.46997,33
1400000US06037262200,6037262200,2021,4405,4783.8799,100
1400000US06037119310,6037119310,2021,4087,801.96002,28
1400000US06037481901,6037481901,2021,5775,1858.03,76
1400000US06037217002,6037217002,2021,4639,1172.41,57
1400000US06037920120,6037920120,2021,1248,1745.33,74
1400000US06037294301,6037294301,2021,2471,1759.78,74
1400000US06037460700,6037460700,2021,5139,983.63,42
1400000US06037294620,6037294620,2021,4683,1014.37,45
1400000US06037403305,6037403305,2021,2294,2828.99,90
1400000US06037189704,6037189704,2021,723,3143.03,93
1400000US06037910218,6037910218,2021,4842,1239.3,60
1400000US06037109700,6037109700,2021,4616,2656.5901,88
